scenario,selection_method,packets,delivered,lost,pdr,loss_ratio,average_delay,throughput_kbps,energy_consumed,network_lifetime_steps,seed
relay_failure,contextual_kg,1000,198,802,0.198,0.802,11.545454545454545,0.8110080000000001,226.1339999999985,734,43
relay_failure,kg_marl,1000,195,805,0.195,0.805,9.256410256410257,0.79872,228.35999999999862,712,43
normal,static,1000,300,700,0.3,0.7,7.486666666666666,1.2288,183.63999999999544,1000,44
normal,baseline,1000,306,694,0.306,0.694,14.65359477124183,1.253376,189.17399999999313,1000,44
normal,contextual_kg,1000,305,695,0.305,0.695,13.767213114754098,1.24928,188.92599999999294,1000,44
normal,kg_marl,1000,307,693,0.307,0.693,13.729641693811075,1.257472,189.1379999999931,1000,44
high_mobility,static,1000,217,783,0.217,0.783,8.944700460829493,0.888832,180.79999999999552,919,44
high_mobility,baseline,1000,227,773,0.227,0.773,16.85022026431718,0.9297920000000001,185.74999999999272,919,44
high_mobility,contextual_kg,1000,226,774,0.226,0.774,15.026548672566372,0.9256960000000001,185.51599999999257,919,44
high_mobility,kg_marl,1000,226,774,0.226,0.774,15.68141592920354,0.9256960000000001,185.7579999999927,919,44
high_congestion,static,1000,235,765,0.235,0.765,8.08936170212766,0.96256,229.4519999999987,874,44
high_congestion,baseline,1000,234,766,0.234,0.766,13.307692307692308,0.9584640000000001,233.65199999999885,874,44
high_congestion,contextual_kg,1000,236,764,0.236,0.764,12.533898305084746,0.966656,230.33399999999872,874,44
high_congestion,kg_marl,1000,237,763,0.237,0.763,12.68776371308017,0.970752,230.41799999999873,874,44
low_battery,static,1000,188,812,0.188,0.812,6.75531914893617,0.770048,235,563,44
low_battery,baseline,1000,188,812,0.188,0.812,9.117021276595745,0.770048,235,566,44
low_battery,contextual_kg,1000,186,814,0.186,0.814,9.086021505376344,0.761856,235,545,44
low_battery,kg_marl,1000,185,815,0.185,0.815,9.12972972972973,0.75776,235,540,44
relay_failure,static,1000,209,791,0.209,0.791,7.354066985645933,0.8560639999999999,225.88199999999847,699,44
relay_failure,baseline,1000,214,786,0.214,0.786,11.57943925233645,0.876544,228.98999999999867,756,44
relay_failure,contextual_kg,1000,214,786,0.214,0.786,10.663551401869158,0.876544,226.1339999999985,734,44
relay_failure,kg_marl,1000,210,790,0.21,0.79,11.361904761904762,0.8601599999999999,228.35999999999862,712,44
normal,static,1000,265,735,0.265,0.735,8.449056603773585,1.08544,183.63999999999544,1000,45
normal,baseline,1000,275,725,0.275,0.725,16.658181818181816,1.1264,189.17399999999313,1000,45
normal,contextual_kg,1000,275,725,0.275,0.725,15.34909090909091,1.1264,188.92599999999294,1000,45
normal,kg_marl,1000,274,726,0.274,0.726,15.18978102189781,1.1223040000000002,189.1379999999931,1000,45
high_mobility,static,1000,180,820,0.18,0.82,10.88888888888889,0.7372799999999999,180.79999999999552,919,45
high_mobility,baseline,1000,186,814,0.186,0.814,20.419354838709676,0.761856,185.74999999999272,919,45
high_mobility,contextual_kg,1000,186,814,0.186,0.814,17.086021505376344,0.761856,185.51599999999257,919,45
high_mobility,kg_marl,1000,188,812,0.188,0.812,18.03191489361702,0.770048,185.7579999999927,919,45
high_congestion,static,1000,198,802,0.198,0.802,8.93939393939394,0.8110080000000001,229.4519999999987,874,45
high_congestion,baseline,1000,197,803,0.197,0.803,15.17258883248731,0.8069120000000001,233.65199999999885,874,45
high_congestion,contextual_kg,1000,196,804,0.196,0.804,14.673469387755102,0.8028160000000001,230.33399999999872,874,45
high_congestion,kg_marl,1000,196,804,0.196,0.804,14.520408163265307,0.8028160000000001,230.41799999999873,874,45
low_battery,static,1000,158,842,0.158,0.842,7.962025316455696,0.647168,235,563,45
low_battery,baseline,1000,158,842,0.158,0.842,10.594936708860759,0.647168,235,566,45
low_battery,contextual_kg,1000,157,843,0.157,0.843,10.566878980891719,0.643072,235,545,45
low_battery,kg_marl,1000,155,845,0.155,0.845,10.67741935483871,0.63488,235,540,45
relay_failure,static,1000,177,823,0.177,0.823,8.649717514124294,0.724992,225.88199999999847,699,45
relay_failure,baseline,1000,183,817,0.183,0.817,13.153005464480874,0.749568,228.98999999999867,756,45
relay_failure,contextual_kg,1000,179,821,0.179,0.821,12.53072625698324,0.733184,226.1339999999985,734,45
relay_failure,kg_marl,1000,180,820,0.18,0.82,12.055555555555555,0.7372799999999999,228.35999999999862,712,45
normal,static,1000,282,718,0.282,0.718,7.801418439716312,1.1550719999999999,183.63999999999544,1000,46
normal,baseline,1000,283,717,0.283,0.717,15.819787985865725,1.159168,189.17399999999313,1000,46
normal,contextual_kg,1000,283,717,0.283,0.717,14.929328621908127,1.159168,188.92599999999294,1000,46
normal,kg_marl,1000,284,716,0.284,0.716,14.683098591549296,1.1632639999999999,189.1379999999931,1000,46
high_mobility,static,1000,208,792,0.208,0.792,9.134615384615385,0.851968,180.79999999999552,919,46
high_mobility,baseline,1000,205,795,0.205,0.795,18.09268292682927,0.83968,185.74999999999272,919,46
high_mobility,contextual_kg,1000,206,794,0.206,0.794,14.854368932038835,0.843776,185.51599999999257,919,46
high_mobility,kg_marl,1000,207,793,0.207,0.793,16.159420289855074,0.847872,185.7579999999927,919,46
high_congestion,static,1000,218,782,0.218,0.782,8.642201834862385,0.8929279999999999,229.4519999999987,874,46
high_congestion,baseline,1000,221,779,0.221,0.779,13.69683257918552,0.905216,233.65199999999885,874,46
high_congestion,contextual_kg,1000,219,781,0.219,0.781,13.155251141552512,0.897024,230.33399999999872,874,46
high_congestion,kg_marl,1000,220,780,0.22,0.78,13.318181818181818,0.90112,230.41799999999873,874,46
low_battery,static,1000,184,816,0.184,0.816,6.869565217391305,0.753664,235,563,46
low_battery,baseline,1000,184,816,0.184,0.816,9.41304347826087,0.753664,235,566,46
