protocol,scenario,seed,run,nodes,max_speed_mps,offered_rate,offered_packets,source_tx_packets,rx_packets,pdr_percent,loss_ratio_percent,average_delay_ms,average_jitter_ms,throughput_kbps,energy_consumed_j,network_lifetime_s
DSR,high_mobility,42,10,20,20.000,64kbps,5061,5061,228,4.505,95.495,816.764,343.076,8.158,1965.701,120.000
AODV,high_congestion,42,1,20,5.000,256kbps,20249,20248,1949,9.625,90.375,0.441,0.139,69.739,1965.940,120.000
AODV,high_congestion,42,2,20,5.000,256kbps,20249,20248,4064,20.070,79.930,0.964,0.374,145.417,1966.216,120.000
AODV,high_congestion,42,3,20,5.000,256kbps,20249,20248,136,0.672,99.328,23.487,7.794,4.866,1965.897,120.000
AODV,high_congestion,42,4,20,5.000,256kbps,20249,20248,1998,9.867,90.133,1.728,0.523,71.492,1965.890,120.000
AODV,high_congestion,42,5,20,5.000,256kbps,20249,20248,1880,9.284,90.716,1.007,0.277,67.270,1966.098,120.000
AODV,high_congestion,42,6,20,5.000,256kbps,20249,20248,6065,29.952,70.048,56.763,2.635,217.017,1966.528,120.000
AODV,high_congestion,42,7,20,5.000,256kbps,20249,20248,4109,20.292,79.708,32.799,1.513,147.027,1965.944,120.000
AODV,high_congestion,42,8,20,5.000,256kbps,20249,20248,68,0.336,99.664,0.765,0.252,2.433,1965.850,120.000
AODV,high_congestion,42,9,20,5.000,256kbps,20249,20248,0,0.000,100.000,0.000,0.000,0.000,1965.794,120.000
AODV,high_congestion,42,10,20,5.000,256kbps,20249,20248,602,2.973,97.027,0.537,0.075,21.541,1965.940,120.000
OLSR,high_congestion,42,1,20,5.000,256kbps,20249,2760,1482,7.319,92.681,6.240,1.298,53.029,1966.850,120.000
OLSR,high_congestion,42,2,20,5.000,256kbps,20249,3907,2950,14.569,85.431,0.277,0.064,105.556,1967.025,120.000
OLSR,high_congestion,42,3,20,5.000,256kbps,20249,490,51,0.252,99.748,3.903,3.334,1.825,1966.498,120.000
OLSR,high_congestion,42,4,20,5.000,256kbps,20249,2056,1831,9.042,90.958,0.273,0.080,65.517,1966.086,120.000
OLSR,high_congestion,42,5,20,5.000,256kbps,20249,1752,1428,7.052,92.948,0.529,0.109,51.096,1965.964,120.000
OLSR,high_congestion,42,6,20,5.000,256kbps,20249,6370,3850,19.013,80.987,3.049,2.162,137.760,1969.483,120.000
OLSR,high_congestion,42,7,20,5.000,256kbps,20249,4259,3689,18.218,81.782,0.367,0.142,131.999,1965.954,120.000
OLSR,high_congestion,42,8,20,5.000,256kbps,20249,519,116,0.573,99.427,2.119,1.599,4.151,1966.257,120.000
OLSR,high_congestion,42,9,20,5.000,256kbps,20249,0,0,0.000,100.000,0.000,0.000,0.000,1965.711,120.000
OLSR,high_congestion,42,10,20,5.000,256kbps,20249,1017,646,3.190,96.810,1.025,0.528,23.115,1966.347,120.000
DSR,high_congestion,42,1,20,5.000,256kbps,20249,20248,1715,8.470,91.530,24.954,15.753,61.366,1965.741,120.000
DSR,high_congestion,42,2,20,5.000,256kbps,20249,20248,4093,20.213,79.787,14.580,10.677,146.455,1966.083,120.000
DSR,high_congestion,42,3,20,5.000,256kbps,20249,20248,0,0.000,100.000,0.000,0.000,0.000,1965.605,120.000
DSR,high_congestion,42,4,20,5.000,256kbps,20249,20248,1979,9.773,90.227,20.195,12.243,70.812,1965.679,120.000
DSR,high_congestion,42,5,20,5.000,256kbps,20249,20248,1701,8.400,91.600,25.297,12.813,60.865,1965.772,120.000
DSR,high_congestion,42,6,20,5.000,256kbps,20249,20248,4360,21.532,78.468,11.236,5.867,156.009,1966.204,120.000
DSR,high_congestion,42,7,20,5.000,256kbps,20249,20248,3058,15.102,84.898,13.213,7.657,109.421,1965.706,120.000
DSR,high_congestion,42,8,20,5.000,256kbps,20249,20248,0,0.000,100.000,0.000,0.000,0.000,1965.606,120.000
DSR,high_congestion,42,9,20,5.000,256kbps,20249,20248,0,0.000,100.000,0.000,0.000,0.000,1965.604,120.000
DSR,high_congestion,42,10,20,5.000,256kbps,20249,20248,430,2.124,97.876,100.685,70.524,15.386,1965.684,120.000
AODV,low_battery,42,1,20,5.000,64kbps,5061,5061,484,9.563,90.437,0.474,0.267,17.318,743.170,14.000
AODV,low_battery,42,2,20,5.000,64kbps,5061,5061,1016,20.075,79.925,8.506,4.366,36.354,741.596,13.427
